CycID	BH.Q	ADJ.P	PER	LAG	AMP
0610005C13RIK	1	0.805264174482925	24	2	0.0718783235464281
0610007P14RIK	1	0.15763918951419	24	8	2.15998140682102
0610009B22RIK	1	1	28	12	1.44090684336289
0610009L18RIK	1	0.0324589646464646	24	6	1.40543129615076
0610009O20RIK	1	0.558904371091871	24	6	0.661639815156253
0610010B08RIK	1	1	28	20	0.37778770775149
0610010F05RIK	1	0.247873827561328	28	10	0.831115632937139
0610010K14RIK	1	0.377646329365079	24	6	2.74732197694409
0610011F06RIK	1	1	20	10	2.9444633475389
0610012G03RIK	1	0.805264174482925	24	4	1.76937562089357
0610030E20RIK	1	1	28	20	0.370566379748622
0610031O16RIK	1	0.312760078463203	28	0	0.0450825474287029
0610037L13RIK	1	0.247873827561328	24	6	1.68204793341703
0610038B21RIK	1	1	20	0	0.0400032933534228
0610039H22RIK	1	0.96845441017316	0	0	0
0610039K10RIK	1	1	28	10	0.129913016596803
0610040B10RIK	0.828231080489939	0.00432043650793651	24	6	1.93282512113179
0610040F04RIK	1	0.377646329365079	24	6	0.0830413829456811
0610040J01RIK	1	1	24	6	0.177310560916433
0610043K17RIK	1	1	28	18	0.20656922530837
1010001N08RIK	1	1	0	0	0
1110001J03RIK	1	1	28	6	7.74430417823319
1110002L01RIK	1	1	28	8	1.14517710980114
1110004E09RIK	1	0.558904371091871	28	2	1.52694406096376
1110004F10RIK	1	0.0572696458633959	24	8	6.37859814104949
1110006O24RIK	1	0.247873827561328	28	4	0.392812666191532
1110007C09RIK	1	0.0968455387205387	24	8	0.807873033039537
1110008F13RIK	1	1	24	0	1.35803746414173
1110008L16RIK	1	1	20	10	0.159233376055398
1110008P14RIK	1	0.247873827561328	24	8	3.2378419510532
1110012L19RIK	1	0.377646329365079	20	10	1.50726881477725
1110015O18RIK	1	0.0968455387205387	24	16	0.228165680619369
1110017D15RIK	1	1	28	2	2.75428697873878
1110019D14RIK	1	0.0968455387205387	28	22	0.166531071590634
1110020A21RIK	1	0.0324589646464646	28	0	0.132383470913574
1110025L11RIK	1	1	0	0	0
1110028F11RIK	0.986246877454297	0.0132602813852814	24	4	0.00807286664741238
1110028F18RIK	1	1	0	0	0
1110032A03RIK	1	0.0968455387205387	24	6	1.78397737592507
1110032F04RIK	1	0.0968455387205387	28	14	0.110775348340685
1110034G24RIK	1	1	28	20	0.424423167737696
1110036E04RIK	1	1	0	0	0
1110037F02RIK	1	1	24	18	0.347265443541573
1110038B12RIK	1	0.377646329365079	20	12	1.83784123498196
1110038F14RIK	1	0.15763918951419	24	6	1.21507107958753
1110046J04RIK	1	0.558904371091871	28	24	0.297555836824158
1110051M20RIK	1	1	28	6	2.66075442925733
1110058D11RIK	1	1	0	0	0
1110059E24RIK	1	0.0968455387205387	24	8	1.98297490182049
1110059G10RIK	1	0.0572696458633959	20	12	0.268318739189047
1110065P20RIK	1	0.377646329365079	20	12	2.35650405898229
1190002F15RIK	1	1	28	22	0.155497695575051
1190002N15RIK	1	0.0324589646464646	28	12	0.680123586416469
1190003K10RIK	1	1	0	0	0
1190005I06RIK	0.986246877454297	0.0175406595719096	24	6	2.3343733844981
1190007I07RIK	1	0.377646329365079	20	10	1.22168252799162
1200014J11RIK	1	1	24	18	0.141573384195264
1300002E11RIK	1	0.247873827561328	24	6	0.505736912040242
1300017J02RIK	1	0.377646329365079	28	0	0.296307758000025
1500004A13RIK	1	0.0968455387205387	24	20	1.95349562011283
1500009C09RIK	1	1	28	6	9.20808592596746
1500009L16RIK	1	1	28	6	1.91806249930757
1500011B03RIK	1	0.558904371091871	24	6	4.54673195836857
1500011K16RIK	1	1	28	6	4.17741008655483
1500012F01RIK	1	1	20	10	5.64702546523389
1500012K07RIK	1	0.312760078463203	20	10	0.0457932250991345
1500015A07RIK	1	0.377646329365079	20	10	0.142022397001318
1500015L24RIK	1	1	24	12	0.0764428392403435
1500015O10RIK	1	1	20	14	0.4243064951188
1500017E21RIK	1	0.15763918951419	28	2	0.222906573934294
1500026H17RIK	1	1	28	8	0.0865509306774052
1600002D24RIK	1	1	28	2	0.0232231898164582
1600002H07RIK	1	0.558904371091871	20	12	0.221112290477033
1600002K03RIK	1	1	28	20	0.941019472170011
1600010M07RIK	1	1	28	22	0.0760756033335343
1600012H06RIK	1	0.377646329365079	20	10	0.327439937164055
1600014C10RIK	1	1	20	14	0.843012704530602
1600014C23RIK	1	1	28	26	0.215584659991803
1600014K23RIK	1	1	0	0	0
1600015I10RIK	1	1	28	0	0.00628466077293581
1600019K03RIK	1	1	0	0	0
