Genes	0	4	8	12	16	20	24	28	32	36	40	44	48	52	56	60	64	68
0610005C13RIK	3.17011	0.918113	0.0981952	0.184488	0.119622	0.144575	0.388454	0.196103	0.178635	0.18418	0.200384	0.195642	0.211968	0.341099	0.280018	0.197329	0.417252	0.203012
0610007P14RIK	30.2045	30.2621	30.6656	31.3224	28.4271	23.813	27.6255	35.9204	30.8884	25.407	28.1449	26.2812	23.8767	32.8913	26.9813	26.5565	29.988	28.6482
0610009B22RIK	28.4476	25.1362	27.128	28.071	27.2199	22.6653	25.5468	27.8601	24.8827	23.7509	26.3923	26.1287	23.422	24.9725	23.0911	19.5316	27.3584	25.9188
0610009L18RIK	5.56569	4.80859	6.75252	5.20597	2.6968	2.54798	4.12731	8.20901	4.70613	4.40819	3.17834	3.89879	3.42432	5.78261	6.36236	4.81118	3.77984	3.83466
0610009O20RIK	13.3841	12.1665	12.4381	13.5594	12.0387	12.3298	13.9533	15.8836	13.7662	12.5219	11.8709	12.9704	12.4736	14.4781	12.5479	12.1955	12.7807	12.6862
0610010B08RIK	3.639615	4.1038	3.91861	4.10354	4.444535	4.75692	4.38421	4.715065	4.79003	4.461535	4.27568	4.07336	4.974925	4.43981	3.96134	4.5413	4.37049	4.162015
0610010F05RIK	8.62685	11.3427	10.6127	10.015	9.98261	10.2478	9.30055	10.4918	11.4972	12.0124	12.2609	10.566	10.806	11.3055	9.91302	10.3472	10.4995	10.2084
0610010K14RIK	22.5523	25.7516	23.1101	26.3741	21.3355	19.1766	25.0449	27.3991	23.3275	19.273	22.0471	17.9302	20.7822	21.414	20.0545	19.0189	19.1946	22.1464
0610011F06RIK	35.2107	34.5019	35.0548	39.3748	34.3838	28.9151	34.5048	44.6959	34.4114	30.9522	35.1811	31.2677	30.9912	36.7441	30.4181	24.4367	37.1831	27.0084
0610012G03RIK	18.0192	16.7019	16.035	17.6309	16.5387	13.3658	17.7104	21.5427	16.5253	13.2113	14.0478	15.7078	15.0982	16.1277	15.3883	14.7606	16.344	12.8789
0610030E20RIK	2.54401	2.778	3.10531	2.48898	3.05754	3.02357	4.12907	3.30826	3.29125	3.80813	3.00947	3.34441	3.91993	3.79315	2.93146	3.84656	3.39924	2.8633
0610031O16RIK	0.224267	0.0999073	0	0	0.0344806	0	0.0240709	0.0833257	0.0590361	0	0	0	0	0	0	0	0	0
0610037L13RIK	13.612	13.8169	13.4924	13.5299	12.1157	11.7323	14.8262	17.7615	14.1755	11.4268	11.859	10.9983	11.7312	14.4685	12.7384	11.8135	12.4044	11.0976
0610038B21RIK	0.0872193	0.108793	0.0170341	0.0689469	0.112642	0	0.258374	0.058331	0.0275516	0.0894815	0.139077	0.0123442	0.147117	0.01246	0.263218	0.451958	0.144793	0.046967
0610039H22RIK	0	0	0.0431274	0.0249373	0	0	0	0	0.0348779	0.0323645	0	0.0312533	0	0	0	0	0	0.15855
0610039K10RIK	0.742837	0.661844	0.816061	0.332055	0.685258	0.467597	0.398649	0.448498	0.537748	0.725813	0.628147	0.788505	0.348049	0.486387	0.433681	0.680426	0.693665	0.527795
0610040B10RIK	5.02087	8.41006	7.45246	7.6545	3.70536	3.748	7.04878	10.4094	6.74065	5.66621	2.40184	5.96909	4.04627	7.96176	9.09145	4.49392	4.41763	4.5963
0610040F04RIK	0.349905	0.636883	0.58576	0.541894	0.235164	0.319839	0.518268	0.451294	0.50133	0.437197	0.304327	0.523513	0.491819	0.90334	0.323264	0.337508	0.311175	0.463187
0610040J01RIK	2.37229	1.52378	1.88557	2.20394	1.59041	1.60565	2.185	1.75258	1.55757	1.61715	1.39955	1.50307	1.64142	1.85214	1.82847	1.78675	1.76305	1.52256
0610043K17RIK	0.394504	0.401703	0.440271	0.636439	0.467904	0.801335	0.762168	0.502549	0.178027	0.371696	0.122545	0.319053	1.00342	0.523328	0.789662	0.619473	0.187119	0.556385
1010001N08RIK	0	0.222051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110001J03RIK	97.3789	81.2387	88.4526	94.5007	81.5303	79.5188	79.5797	90.7122	79.5077	60.0776	69.3488	75.0656	67.7362	73.842	90.7325	56.674	70.6219	65.682
1110002L01RIK	22.0734	25.6637	23.9121	22.7489	22.6918	22.9523	21.1151	24.1252	27.0629	23.6585	27.3769	22.668	23.0785	23.78	20.2875	22.336	24.4868	22.5021
1110004E09RIK	20.8989	21.0201	18.5293	20.885	18.7244	17.0121	21.0476	24.5279	19.1822	18.17	20.5687	18.0227	17.6233	21.284	19.0777	17.5035	20.7208	17.5694
1110004F10RIK	60.9083	64.8669	67.1096	68.2611	56.1694	52.1772	57.1875	73.4269	66.4043	59.9827	60.4435	58.114	53.5403	63.9671	58.1578	56.4359	61.6622	56.4959
1110006O24RIK	1.19319	0.769829	1.00445	0.394944	0.721153	0.219384	0.450443	1.28412	1.39719	0.572874	0.835011	0.465857	0.347002	0.852291	0.931273	0.516861	0.478129	0.849317
1110007C09RIK	6.56901	5.78392	7.54671	6.87283	5.09739	5.94071	6.99255	7.10674	9.24629	6.73939	5.76952	5.19547	6.95231	6.40348	6.95524	4.45974	6.31861	5.65285
1110008F13RIK	14.5475	12.7911	12.0203	13.7005	12.6142	9.75052	14.4129	15.3938	10.6478	11.5806	10.4452	12.8827	13.2229	12.3018	12.12	11.2288	13.9782	12.0519
1110008L16RIK	2.5975	2.31429	2.54417	2.33777	2.30177	2.3433	2.17966	3.29009	2.57967	2.60719	2.37902	2.65693	2.01364	3.06419	2.19728	2.04555	2.17566	2.26765
