CycID	BH.Q	ADJ.P	PER	LAG	AMP
0610005C13RIK	1	0.710362661526393	24	0	0.0589656344831462
0610007P14RIK	1	0.710362661526393	24	8	1.86435773927645
0610009B22RIK	1	1	28	12	0.992141524682846
0610009L18RIK	0.438222510344899	0.00829789605146629	24	6	1.09929648630385
0610009O20RIK	1	0.475764435488483	24	4	0.519794194850232
0610010B08RIK	1	1	28	26	0.232281042085875
0610010F05RIK	1	1	28	8	0.770810031103646
0610010K14RIK	1	0.385279521298535	24	6	1.88698515627442
0610011F06RIK	1	1	20	10	2.42650763031975
0610012G03RIK	1	0.710362661526393	28	0	1.52791633278789
0610030E20RIK	1	1	28	20	0.374717096554187
0610031O16RIK	1	1	28	0	0.0340413932385265
0610037L13RIK	0.950645744712646	0.0925030711091867	28	0	1.72760328779497
0610038B21RIK	1	1	20	0	0.0442290165108022
0610039H22RIK	1	1	28	12	0.0176333339344833
0610039K10RIK	1	0.385279521298535	28	8	0.0517771869456038
0610040B10RIK	0.30628414406384	0.00188707063211928	24	6	1.99080964495604
0610040F04RIK	0.637611325328432	0.0300656289114039	24	6	0.0865258283866731
0610040J01RIK	1	0.859241172625395	28	0	0.138642426587246
0610043K17RIK	1	0.475764435488483	28	24	0.208076069859078
1010001N08RIK	1	1	0	0	0
1110001J03RIK	1	1	24	6	7.9149290445335
1110002L01RIK	1	1	28	8	1.15527105910258
1110004E09RIK	1	0.710362661526393	24	6	0.872923321374793
1110004F10RIK	1	0.195687736186953	24	8	4.79390113373232
1110006O24RIK	1	0.119750703967856	28	4	0.366223329898574
1110007C09RIK	0.862640188522739	0.0708296121275345	24	8	0.52085485502201
1110008F13RIK	1	0.859241172625395	24	2	0.758725576213166
1110008L16RIK	1	1	28	2	0.17974654377762
1110008P14RIK	1	0.859241172625395	24	10	2.71932054840911
1110012L19RIK	1	1	28	6	0.985353299583454
1110015O18RIK	0.363691328912795	0.00406325644723076	28	14	0.289652150777446
1110017D15RIK	1	0.385279521298535	24	2	1.77432890389578
1110019D14RIK	1	0.247148491874073	28	20	0.152863051063689
1110020A21RIK	0.637611325328432	0.0300656289114039	28	0	0.190982470530675
1110025L11RIK	1	1	0	0	0
1110028F11RIK	0.363691328912795	0.00406325644723076	24	4	0.0108159336093007
1110028F18RIK	1	1	0	0	0
1110032A03RIK	0.389756974599693	0.00584331289447498	24	4	1.37475700398288
1110032F04RIK	1	0.195687736186953	28	12	0.27477462410128
1110034G24RIK	1	0.859241172625395	28	20	0.416132340728283
1110036E04RIK	1	1	0	0	0
1110037F02RIK	1	0.247148491874073	28	14	0.205202387900335
1110038B12RIK	1	1	24	10	1.61496117755196
1110038F14RIK	1	0.195687736186953	24	6	0.873658712427227
1110046J04RIK	1	0.309738885900378	24	0	0.283295260814579
1110051M20RIK	1	1	28	6	3.22058854559225
1110058D11RIK	1	1	0	0	0
1110059E24RIK	1	0.195687736186953	28	8	1.16616050353285
1110059G10RIK	1	0.385279521298535	24	8	0.258836437253336
1110065P20RIK	1	1	24	6	3.44035733318503
1190002F15RIK	1	1	20	0	0.089050729925595
1190002N15RIK	0.535611948561039	0.0161479984491827	28	12	0.688757360214758
1190003K10RIK	1	0.859241172625395	0	0	0
1190005I06RIK	0.389756974599693	0.00584331289447498	24	6	2.10184662280576
1190007I07RIK	0.950645744712646	0.0925030711091867	24	6	0.893556697249816
1200014J11RIK	1	1	24	18	0.148428784438868
1300002E11RIK	0.785364429348212	0.0537425917725344	20	8	0.405905808905373
1300017J02RIK	1	0.153711924959646	20	4	0.0358911138674324
1500004A13RIK	0.336065071960009	0.00278834899104255	24	20	1.92669627310586
1500009C09RIK	1	1	28	6	5.9507278277535
1500009L16RIK	1	1	28	6	1.66339799206324
1500011B03RIK	1	1	28	2	5.37019316039935
1500011K16RIK	1	1	28	6	2.60172869069778
1500012F01RIK	1	1	20	12	4.91062678563669
1500012K07RIK	1	0.859241172625395	20	10	0.0213279491885135
