CycID	PhaseShift	PhaseShiftHeight	PeakIndex	PeakSPD	Period	p	N	Nindependent	Nyquist	BH.Q
0610005C13RIK	31.6177704222645	0.21603751740668	22	1.50295161837114	25.0377833753149	0.977052463324112	18	15	0.132352941176471	1
0610007P14RIK	31.0616264845071	29.7526500788303	49	2.40294664756107	22.039911308204	0.758792240314531	18	15	0.132352941176471	1
0610009B22RIK	5.49973454206191e-05	27.6168939949738	72	0.930119137514952	20	0.999460936343689	18	15	0.132352941176471	1
0610009L18RIK	31.7991216834337	5.12191057272434	28	5.39984048269809	24.3031784841076	0.0656582699341424	18	15	0.132352941176471	1
0610009O20RIK	26.0609677745879	13.8627782528783	41	2.71051996674316	22.8505747126437	0.643795541965739	18	15	0.132352941176471	1
0610010B08RIK	25.0247942534666	4.65699753772365	1	0.704925340049246	28	0.999963660018036	18	15	0.132352941176471	1
0610010F05RIK	39.9647858605348	11.6472137783572	1	1.35883089721135	28	0.98838085945807	18	15	0.132352941176471	1
0610010K14RIK	5.2753511536059e-05	23.8250675491677	48	2.92133070192149	22.1380846325167	0.564169598563777	18	15	0.132352941176471	1
0610011F06RIK	30.2473744271794	35.8772669048346	55	1.32719631546265	21.4686825053996	0.990174343833934	18	15	0.132352941176471	1
0610012G03RIK	23.4472058247691	17.3339922831191	21	2.30222808865655	25.1645569620253	0.794231362464942	18	15	0.132352941176471	1
0610030E20RIK	32.847164187254	3.49030563753374	1	0.804130105332838	28	0.999863461464841	18	15	0.132352941176471	1
0610031O16RIK	28.3660464531745	0.0398501799519014	10	2.33452330617897	26.6487935656836	0.783054632202491	18	15	0.132352941176471	1
0610037L13RIK	25.249598077601	14.3817037564823	27	4.36418260785724	24.4226044226044	0.174776184889685	18	15	0.132352941176471	1
0610038B21RIK	24.6924877230633	0.101150553048562	72	1.60113942077504	20	0.96589920864482	18	15	0.132352941176471	1
0610039H22RIK	38.5928124147204	0.0207857567923351	1	2.04064711087874	28	0.876062241080767	18	15	0.132352941176471	1
0610039K10RIK	39.9046335192923	0.639158683490962	1	2.13611879687435	28	0.848225523369056	18	15	0.132352941176471	1
0610040B10RIK	30.3558766803318	6.80501633848394	36	5.80186671796416	23.3882352941176	0.0443822167250728	18	15	0.132352941176471	1
0610040F04RIK	46.3438250220199	0.518567002865089	50	4.81831859639664	21.9426048565121	0.114584078873806	18	15	0.132352941176471	1
0610040J01RIK	4.50918069849613e-05	2.06422765181451	2	1.41721811064667	27.843137254902	0.984450799961054	18	15	0.132352941176471	1
