ID	ZT_0_REP_1	ZT_0_REP_2	ZT_0_REP_3	ZT_4_REP_1	ZT_4_REP_2	ZT_4_REP_3	ZT_8_REP_1	ZT_8_REP_2	ZT_8_REP_3	ZT_12_REP_1	ZT_12_REP_2	ZT_12_REP_3	ZT_16_REP_1	ZT_16_REP_2	ZT_16_REP_3	ZT_20_REP_1	ZT_20_REP_2	ZT_20_REP_3
0610005C13Rik	3.17011	0.388454	0.211968	0.918113	0.196103	0.341099	0.0981952	0.178635	0.280018	0.184488	0.18418	0.197329	0.119622	0.200384	0.417252	0.144575	0.195642	0.203012
0610007P14Rik	30.2045	27.6255	23.8767	30.2621	35.9204	32.8913	30.6656	30.8884	26.9813	31.3224	25.407	26.5565	28.4271	28.1449	29.988	23.813	26.2812	28.6482
0610009B22Rik	28.4476	25.5468	23.422	25.1362	27.8601	24.9725	27.128	24.8827	23.0911	28.071	23.7509	19.5316	27.2199	26.3923	27.3584	22.6653	26.1287	25.9188
0610009L18Rik	5.56569	4.12731	3.42432	4.80859	8.20901	5.78261	6.75252	4.70613	6.36236	5.20597	4.40819	4.81118	2.6968	3.17834	3.77984	2.54798	3.89879	3.83466
0610009O20Rik	13.3841	13.9533	12.4736	12.1665	15.8836	14.4781	12.4381	13.7662	12.5479	13.5594	12.5219	12.1955	12.0387	11.8709	12.7807	12.3298	12.9704	12.6862
0610010B08Rik	3.92896	4.39002	4.87241	4.52012	4.90051	4.50452	3.60405	4.78193	3.65674	3.72656	4.56753	4.20913	4.69043	4.54705	4.30125	5.04403	4.24998	3.89765
0610010B08Rik	3.35027	4.3784	5.07744	3.68748	4.52962	4.3751	4.23317	4.79813	4.26594	4.48052	4.35554	4.87347	4.19864	4.00431	4.43973	4.46981	3.89674	4.42638
0610010F05Rik	8.62685	9.30055	10.806	11.3427	10.4918	11.3055	10.6127	11.4972	9.91302	10.015	12.0124	10.3472	9.98261	12.2609	10.4995	10.2478	10.566	10.2084
0610010K14Rik	22.5523	25.0449	20.7822	25.7516	27.3991	21.414	23.1101	23.3275	20.0545	26.3741	19.273	19.0189	21.3355	22.0471	19.1946	19.1766	17.9302	22.1464
0610011F06Rik	35.2107	34.5048	30.9912	34.5019	44.6959	36.7441	35.0548	34.4114	30.4181	39.3748	30.9522	24.4367	34.3838	35.1811	37.1831	28.9151	31.2677	27.0084
0610012G03Rik	18.0192	17.7104	15.0982	16.7019	21.5427	16.1277	16.035	16.5253	15.3883	17.6309	13.2113	14.7606	16.5387	14.0478	16.344	13.3658	15.7078	12.8789
0610030E20Rik	2.54401	4.12907	3.91993	2.778	3.30826	3.79315	3.10531	3.29125	2.93146	2.48898	3.80813	3.84656	3.05754	3.00947	3.39924	3.02357	3.34441	2.8633
0610031O16Rik	0.224267	0.0240709	0.0	0.0999073	0.0833257	0.0	0.0	0.0590361	0.0	0.0	0.0	0.0	0.0344806	0.0	0.0	0.0	0.0	0.0
0610037L13Rik	13.612	14.8262	11.7312	13.8169	17.7615	14.4685	13.4924	14.1755	12.7384	13.5299	11.4268	11.8135	12.1157	11.859	12.4044	11.7323	10.9983	11.0976
0610038B21Rik	0.0872193	0.258374	0.147117	0.108793	0.058331	0.01246	0.0170341	0.0275516	0.263218	0.0689469	0.0894815	0.451958	0.112642	0.139077	0.144793	0.0	0.0123442	0.046967
0610039H22Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0431274	0.0348779	0.0	0.0249373	0.0323645	0.0	0.0	0.0	0.0	0.0	0.0312533	0.15855
0610039K10Rik	0.742837	0.398649	0.348049	0.661844	0.448498	0.486387	0.816061	0.537748	0.433681	0.332055	0.725813	0.680426	0.685258	0.628147	0.693665	0.467597	0.788505	0.527795
0610040B10Rik	5.02087	7.04878	4.04627	8.41006	10.4094	7.96176	7.45246	6.74065	9.09145	7.6545	5.66621	4.49392	3.70536	2.40184	4.41763	3.748	5.96909	4.5963
0610040F04Rik	0.349905	0.518268	0.491819	0.636883	0.451294	0.90334	0.58576	0.50133	0.323264	0.541894	0.437197	0.337508	0.235164	0.304327	0.311175	0.319839	0.523513	0.463187
0610040J01Rik	2.37229	2.185	1.64142	1.52378	1.75258	1.85214	1.88557	1.55757	1.82847	2.20394	1.61715	1.78675	1.59041	1.39955	1.76305	1.60565	1.50307	1.52256
0610043K17Rik	0.394504	0.762168	1.00342	0.401703	0.502549	0.523328	0.440271	0.178027	0.789662	0.636439	0.371696	0.619473	0.467904	0.122545	0.187119	0.801335	0.319053	0.556385
1010001N08Rik	0.0	0.0	0.0	0.222051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
