Genes	0	4	8	12	16	20	24	28	32	36	40	44
0610005C13RIK	3.17011	0.918113	0.0981952	0.184488	0.119622	0.144575	0.388454	0.196103	0.178635	0.18418	0.200384	0.195642
0610007P14RIK	30.2045	30.2621	30.6656	31.3224	28.4271	23.813	27.6255	35.9204	30.8884	25.407	28.1449	26.2812
0610009B22RIK	28.4476	25.1362	27.128	28.071	27.2199	22.6653	25.5468	27.8601	24.8827	23.7509	26.3923	26.1287
0610009L18RIK	5.56569	4.80859	6.75252	5.20597	2.6968	2.54798	4.12731	8.20901	4.70613	4.40819	3.17834	3.89879
0610009O20RIK	13.3841	12.1665	12.4381	13.5594	12.0387	12.3298	13.9533	15.8836	13.7662	12.5219	11.8709	12.9704
0610010B08RIK	3.639615	4.1038	3.91861	4.10354	4.444535	4.75692	4.38421	4.715065	4.79003	4.461535	4.27568	4.07336
0610010F05RIK	8.62685	11.3427	10.6127	10.015	9.98261	10.2478	9.30055	10.4918	11.4972	12.0124	12.2609	10.566
0610010K14RIK	22.5523	25.7516	23.1101	26.3741	21.3355	19.1766	25.0449	27.3991	23.3275	19.273	22.0471	17.9302
0610011F06RIK	35.2107	34.5019	35.0548	39.3748	34.3838	28.9151	34.5048	44.6959	34.4114	30.9522	35.1811	31.2677
0610012G03RIK	18.0192	16.7019	16.035	17.6309	16.5387	13.3658	17.7104	21.5427	16.5253	13.2113	14.0478	15.7078
0610030E20RIK	2.54401	2.778	3.10531	2.48898	3.05754	3.02357	4.12907	3.30826	3.29125	3.80813	3.00947	3.34441
0610031O16RIK	0.224267	0.0999073	0	0	0.0344806	0	0.0240709	0.0833257	0.0590361	0	0	0
0610037L13RIK	13.612	13.8169	13.4924	13.5299	12.1157	11.7323	14.8262	17.7615	14.1755	11.4268	11.859	10.9983
0610038B21RIK	0.0872193	0.108793	0.0170341	0.0689469	0.112642	0	0.258374	0.058331	0.0275516	0.0894815	0.139077	0.0123442
0610039H22RIK	0	0	0.0431274	0.0249373	0	0	0	0	0.0348779	0.0323645	0	0.0312533
0610039K10RIK	0.742837	0.661844	0.816061	0.332055	0.685258	0.467597	0.398649	0.448498	0.537748	0.725813	0.628147	0.788505
0610040B10RIK	5.02087	8.41006	7.45246	7.6545	3.70536	3.748	7.04878	10.4094	6.74065	5.66621	2.40184	5.96909
0610040F04RIK	0.349905	0.636883	0.58576	0.541894	0.235164	0.319839	0.518268	0.451294	0.50133	0.437197	0.304327	0.523513
0610040J01RIK	2.37229	1.52378	1.88557	2.20394	1.59041	1.60565	2.185	1.75258	1.55757	1.61715	1.39955	1.50307
0610043K17RIK	0.394504	0.401703	0.440271	0.636439	0.467904	0.801335	0.762168	0.502549	0.178027	0.371696	0.122545	0.319053
1010001N08RIK	0	0.222051	0	0	0	0	0	0	0	0	0	0
1110001J03RIK	97.3789	81.2387	88.4526	94.5007	81.5303	79.5188	79.5797	90.7122	79.5077	60.0776	69.3488	75.0656
1110002L01RIK	22.0734	25.6637	23.9121	22.7489	22.6918	22.9523	21.1151	24.1252	27.0629	23.6585	27.3769	22.668
1110004E09RIK	20.8989	21.0201	18.5293	20.885	18.7244	17.0121	21.0476	24.5279	19.1822	18.17	20.5687	18.0227
1110004F10RIK	60.9083	64.8669	67.1096	68.2611	56.1694	52.1772	57.1875	73.4269	66.4043	59.9827	60.4435	58.114
1110006O24RIK	1.19319	0.769829	1.00445	0.394944	0.721153	0.219384	0.450443	1.28412	1.39719	0.572874	0.835011	0.465857
1110007C09RIK	6.56901	5.78392	7.54671	6.87283	5.09739	5.94071	6.99255	7.10674	9.24629	6.73939	5.76952	5.19547
1110008F13RIK	14.5475	12.7911	12.0203	13.7005	12.6142	9.75052	14.4129	15.3938	10.6478	11.5806	10.4452	12.8827
1110008L16RIK	2.5975	2.31429	2.54417	2.33777	2.30177	2.3433	2.17966	3.29009	2.57967	2.60719	2.37902	2.65693
1110008P14RIK	45.7079	43.1064	44.7848	46.3046	43.6828	37.4666	42.2161	57.7677	46.6128	37.6398	40.0235	35.5835
1110012L19RIK	12.4239	11.9616	13.0043	13.052	10.7119	10.7281	11.2431	13.9387	13.2529	10.8499	12.9875	12.8525
1110015O18RIK	1.41957	1.37276	1.87647	1.55422	1.88445	1.69229	1.07026	1.13849	1.59956	1.86488	1.78177	1.6416
1110017D15RIK	15.4418	10.7938	11.5353	11.3283	8.76902	7.117	14.7425	13.0425	6.79227	8.83762	8.46822	12.4847
1110019D14RIK	0.87137	0.665454	0.625152	0.903697	1.09911	0.837574	1.28263	1.11002	0.631964	0.768867	1.03114	1.13258
1110020A21RIK	1.41658	0.928479	0.928287	0.503026	0.751783	0.772924	0.901563	1.15353	0.845458	0.96759	0.569037	0.582787
1110025L11RIK	0	0	0	0	0	0	0	0	0	0	0	0
1110028F11RIK	0.0275166	0.0326885	0.00895674	0.00517901	0	0.00815107	0.0118136	0.0306711	0	0.0067215	0	0.00649073
1110028F18RIK	0	0	0	0	0	0	0	0	0	0	0	0
1110032A03RIK	17.4059	16.131	16.613	16.276	13.3694	13.2288	15.2051	17.1446	14.459	13.5771	13.3549	14.183
1110032F04RIK	2.29051	2.78992	2.42546	3.0232	2.54091	2.29317	2.12235	2.14374	2.15232	2.40091	2.85101	2.66044
1110034G24RIK	3.57841	3.39864	4.31029	4.06156	4.75886	3.98714	4.80777	4.94025	3.29933	3.52746	3.73907	3.702
